Parcel Unit,Parcel Number,Landlord License Year,Parcel Address,Latitude,Longitude,Location,Parcel City,Location (state),Location (zip),Zip Code Boundaries,2010 Census Tracts,Commission Districts,Gainesville Police Districts,Florida Census Zip Codes
06091-010-047-1,06091-010-047,2014,02506 NW 38TH  PL,29.687893,-82.358783,POINT (-82.358783 29.687893),GAINESVILLE,FL,32605,5,18,2,7,770
14817-000-000-1,14817-000-000,2019,00012 NW 21ST  ST,29.652611,-82.351522,POINT (-82.351522 29.652611),GAINESVILLE,FL,32603,3,16,4,6,771
10857-109-000-1,10857-109-000,2019,00817 NE 25TH  TER,29.659816,-82.291089,POINT (-82.291089 29.659815999999996),GAINESVILLE,FL,32641,9,14,1,2,1082
07915-005-011-1,07915-005-011,2019,04421 NW 20TH  ST,29.695593,-82.349004,POINT (-82.349004 29.695593000000002),GAINESVILLE,FL,32605,5,9,2,4,770
08985-007-004-1,08985-007-004,2019,01712 NW 31ST  PL,29.681902,-82.345497,POINT (-82.345497 29.681902),GAINESVILLE,FL,32605,5,9,2,4,770
06441-008-003-1,06441-008-003,2019,00103 NW 23RD  DR,29.652683,-82.35885,POINT (-82.35885000000002 29.652683),GAINESVILLE,FL,32607,7,16,3,6,768
06392-001-013-1,06392-001-013,2019,01720 NW 42ND  ST,29.668424,-82.387737,POINT (-82.387737 29.668424),GAINESVILLE,FL,32605,5,35,3,6,770
06449-004-000-1,06449-004-000,2019,00108 SW 26TH  ST,29.650999,-82.361547,POINT (-82.361547 29.650999),GAINESVILLE,FL,32607,7,16,3,6,768
06449-006-000-1,06449-006-000,2019,00104 SW 26TH  ST,29.651166,-82.361548,POINT (-82.361548 29.651166),GAINESVILLE,FL,32607,7,16,3,6,768
06017-001-020-1,06017-001-020,2019,03730 NW 61ST  PL,29.710704,-82.379459,POINT (-82.379459 29.710704),GAINESVILLE,FL,32653,10,37,2,5,1079
06364-003-013-1,06364-003-013,2019,05332 NW 9TH  LN,29.661486,-82.399993,POINT (-82.399993 29.661485999999996),GAINESVILLE,FL,32605,5,35,3,6,770
16106-067-000-1,16106-067-000,2019,01522 SE 13TH  PL,29.638812,-82.305007,POINT (-82.305007 29.638812000000005),GAINESVILLE,FL,32641,9,5,1,1,1082
08197-004-025-1,08197-004-025,2019,02911 NE 17TH  TER,29.679493,-82.302119,POINT (-82.302119 29.679493000000004),GAINESVILLE,FL,32609,4,12,1,2,766
08201-079-000-1,08201-079-000,2019,02418 NE 12TH  ST,29.675207,-82.310465,POINT (-82.31046500000001 29.675207000000004),GAINESVILLE,FL,32609,4,12,2,2,766
08201-097-000-1,08201-097-000,2019,02323 NE 12TH  ST,29.6746,-82.310464,POINT (-82.310464 29.6746),GAINESVILLE,FL,32609,4,12,2,2,766
08202-026-000-1,08202-026-000,2019,03018 NE 10TH  ST,29.680777,-82.313783,POINT (-82.313783 29.680777),GAINESVILLE,FL,32609,4,12,1,2,766
10605-024-000-1,10605-024-000,2019,01122 NE 20TH  PL,29.671426,-82.311032,POINT (-82.311032 29.671426),GAINESVILLE,FL,32609,4,12,2,2,766
08203-012-000-1,08203-012-000,2019,01303 NE 31ST  AVE,29.681411,-82.309292,POINT (-82.30929200000001 29.681411),GAINESVILLE,FL,32609,4,12,1,2,766
