state,county,geoid,lives
FL,Collier,12021011202,34.7
FL,Collier,12021011204,28.9
FL,Collier,12021011205,27.8
FL,Collier,12021011301,26.1
FL,Collier,12021011302,24
FL,Collier,12021011400,27.4
FL,Columbia,12023110201,40.3
FL,Columbia,12023110202,38.4
FL,Columbia,12023110300,33.8
FL,Columbia,12023110400,36.6
FL,Columbia,12023110500,36.2
FL,Columbia,12023110601,42.2
FL,Columbia,12023110602,36.3
FL,Columbia,12023110700,46.6
FL,Columbia,12023110800,41.7
FL,Columbia,12023110901,40.2
FL,Columbia,12023110903,45.7
FL,Columbia,12023110904,44.6
FL,De Soto,12027010101,53.8
FL,De Soto,12027010102,38.7
FL,De Soto,12027010200,31.6
FL,De Soto,12027010301,28.6
FL,De Soto,12027010302,32.6
FL,De Soto,12027010403,60.1
FL,De Soto,12027010404,37.1
FL,De Soto,12027010405,64.1
FL,De Soto,12027010406,32.1
FL,Dixie,12029970101,38.2
FL,Dixie,12029970102,49
FL,Dixie,12029970200,49.1
FL,Duval,12031000100,41
FL,Duval,12031000200,33.2
FL,Duval,12031000300,31.2
FL,Duval,12031000600,38.4
FL,Duval,12031000700,40.5
FL,Duval,12031000800,38.3
FL,Duval,12031001000,35.6
FL,Duval,12031001100,38.8
FL,Duval,12031001200,39.6
FL,Duval,12031001300,33.3
FL,Duval,12031001400,36.3
FL,Duval,12031001500,29.7
FL,Duval,12031001600,29.3
FL,Duval,12031002101,37
FL,Duval,12031002102,39.4
FL,Duval,12031002200,40.5
FL,Duval,12031002300,45.1
FL,Duval,12031002400,47.2
FL,Duval,12031002501,37.2
FL,Duval,12031002502,38.2
FL,Duval,12031002600,31
FL,Duval,12031002701,34.2
FL,Duval,12031002702,32.8
FL,Duval,12031002801,40.5
FL,Duval,12031002802,40.9
FL,Duval,12031002901,37.1
FL,Duval,12031002902,38.1
FL,Duval,12031010101,37.6
FL,Duval,12031010102,36
FL,Duval,12031010103,40.4
FL,Duval,12031010201,32.9
FL,Duval,12031010202,41.4
FL,Duval,12031010301,39.2
FL,Duval,12031010303,32.4
FL,Duval,12031010304,35.8
FL,Duval,12031010401,32.2
FL,Duval,12031010402,32.2
FL,Duval,12031010500,35.1
FL,Duval,12031010600,39.8
FL,Duval,12031010700,44.8
FL,Duval,12031010800,42.5
FL,Duval,12031010900,40
FL,Duval,12031011000,36.1
FL,Duval,12031011100,38.5
FL,Duval,12031011200,44.5
FL,Duval,12031011300,35.2
FL,Duval,12031011400,48.4
FL,Duval,12031011500,32.8
FL,Duval,12031011600,39
FL,Duval,12031011700,38.1
FL,Duval,12031011800,35.6
FL,Duval,12031011901,37.5
FL,Duval,12031011902,34.8
FL,Duval,12031011903,41.4
FL,Duval,12031012000,36.9
FL,Duval,12031012100,37.5
FL,Duval,12031012200,30.7
