genus,natural_newborn_avg,csect_newborn_avg,natural_newborn_cnt,csect_newborn_cnt,natural_4m_avg,csect_4m_avg,natural_4m_cnt,csect_4m_cnt,natural_12m_avg,csect_12m_avg,natural_12m_cnt,csect_12m_cnt,natural_mom_avg,csect_mom_avg,natural_mom_cnt,csect_mom_cnt
Coriobacterium,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0
Cronobacter,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000070774,0,1,0.0000001590,0.0000000000,1,0
Delftia,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000042103,0,1,0.0000000000,0.0000000000,0,0,0.0000153735,0.0000000000,1,0
Desulfovibrio,0.0000000000,0.0000000000,0,0,0.0000043740,0.0000000000,1,0,0.0000119337,0.0007479431,4,1,0.0016939746,0.0012658822,27,4
Dialister,0.0000008506,0.0000000000,1,0,0.0000047964,0.0000000000,5,0,0.0076969950,0.0029709714,40,6,0.0139361992,0.0050865183,80,12
Dickeya,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0
Dorea,0.0000008816,0.0000000000,1,0,0.0015426798,0.0000000000,10,0,0.0031735850,0.0044028206,59,10,0.0146828948,0.0046890816,83,14
Edwardsiella,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0
Eggerthella,0.0001342633,0.0012372157,15,1,0.0023415420,0.0020446663,55,9,0.0014529174,0.0064552688,72,14,0.0008432423,0.0013342814,75,13
Eikenella,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000047092,0.0000119754,5,2,0.0000000000,0.0000000000,0,0
Enterobacter,0.0038144338,0.1874176870,11,4,0.0042335471,0.0364117948,22,10,0.0034712226,0.0030393097,45,10,0.0000873185,0.0007490211,29,5
Enterobacteriaceae,0.0000000000,0.0000000000,0,0,0.0009077918,0.0000000000,3,0,0.0001628199,0.0000000000,1,0,0.0000003603,0.0000000000,2,0
Enterococcus,0.0396527979,0.1365300636,34,8,0.0205796414,0.0782258869,52,13,0.0005048843,0.0087866543,24,6,0.0001699997,0.0015448138,24,2
Erwinia,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0
Erysipelotrichaceae,0.0000000000,0.0000000000,0,0,0.0003432255,0.0000183189,5,1,0.0008822094,0.0002136478,57,8,0.0008957414,0.0016644658,82,14
Escherichia,0.0024289464,0.0005291315,43,2,0.0004853657,0.0001944211,39,7,0.0004502456,0.0000539703,13,3,0.0000528400,0.0002876456,12,9
"Escherichia,Shigella",0.2188846865,0.0738454078,51,4,0.0522734251,0.0185032480,74,11,0.0045512378,0.0089946284,57,12,0.0265008658,0.1078382649,66,13
Eubacterium,0.0004726792,0.0000018445,17,1,0.0039624860,0.0029922025,30,2,0.0521896152,0.0634680452,73,13,0.0988819524,0.0487054541,83,14
Faecalibacterium,0.0000059980,0.0000021316,6,1,0.0000126676,0.0000070775,16,1,0.0322343716,0.0309180264,75,14,0.0849373031,0.0928257863,83,15
Finegoldia,0.0000651472,0.0001026277,6,1,0.0005688696,0.0010851200,19,6,0.0000190660,0.0001374969,19,5,0.0000225744,0.0001066460,15,3
Fusobacterium,0.0000268978,0.0000000000,1,0,0.0000296624,0.0002503596,14,3,0.0009353703,0.0000920599,32,3,0.0000870693,0.0000000000,9,0
Gallibacterium,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0
Gardnerella,0.0003124877,0.0000000000,6,0,0.0000371920,0.0000000000,8,0,0.0000000000,0.0000000000,0,0,0.0000332551,0.0000097253,12,1
Gemella,0.0005643856,0.0003727175,46,11,0.0000970372,0.0000938634,43,9,0.0000344148,0.0001915279,38,8,0.0000088560,0.0000053235,20,2
Granulicatella,0.0000114590,0.0000299913,12,4,0.0001495316,0.0006470420,39,10,0.0000626798,0.0002979369,49,10,0.0000127524,0.0000421210,29,9
Haemophilus,0.0133033206,0.0849819708,18,12,0.0014686453,0.0016548304,43,9,0.0059784733,0.0057072258,57,10,0.0005452860,0.0005067281,38,9
