year,state,species,pounds,dollars
1995,New Hampshire,"COD, ATLANTIC",521655,487084
1995,New Jersey,"COD, ATLANTIC",1314,1595
1995,New Jersey,"COD, ATLANTIC",351,207
1995,New Jersey,"COD, ATLANTIC",42,54
1995,New Jersey,"COD, ATLANTIC",317,445
1995,Rhode Island,"COD, ATLANTIC",9479,13956
1995,Rhode Island,"COD, ATLANTIC",9680,4696
1995,Rhode Island,"COD, ATLANTIC",250941,268786
1995,Rhode Island,"COD, ATLANTIC",152767,151022
1995,Rhode Island,"COD, ATLANTIC",60175,54424
1994,Connecticut,"COD, ATLANTIC",86580,59000
1994,Maine,"COD, ATLANTIC",14282,9987
1994,Maine,"COD, ATLANTIC",1573,1613
1994,Maine,"COD, ATLANTIC",2167265,2160670
1994,Maine,"COD, ATLANTIC",5141324,4733895
1994,Maine,"COD, ATLANTIC",925713,803383
1994,Maryland,"COD, ATLANTIC",20,13
1994,Massachusetts,"COD, ATLANTIC",413872,185702
1994,Massachusetts,"COD, ATLANTIC",6321621,5767659
1994,Massachusetts,"COD, ATLANTIC",13365696,12979303
1994,Massachusetts,"COD, ATLANTIC",231921,204214
1994,Massachusetts,"COD, ATLANTIC",6665632,6115360
1994,New Hampshire,"COD, ATLANTIC",276006,137222
1994,New Hampshire,"COD, ATLANTIC",304521,275598
1994,New Hampshire,"COD, ATLANTIC",725495,666507
1994,New Hampshire,"COD, ATLANTIC",1708559,1628673
1994,New Jersey,"COD, ATLANTIC",2868,3932
1994,New Jersey,"COD, ATLANTIC",386,162
1994,Rhode Island,"COD, ATLANTIC",83556,70221
1994,Rhode Island,"COD, ATLANTIC",299618,277228
1994,Rhode Island,"COD, ATLANTIC",126904,121336
1994,Rhode Island,"COD, ATLANTIC",24870,9238
1994,Rhode Island,"COD, ATLANTIC",50925,53849
1993,Connecticut,"COD, ATLANTIC",218256,125992
1993,Maine,"COD, ATLANTIC",54617,37754
1993,Maine,"COD, ATLANTIC",1211037,991716
1993,Maine,"COD, ATLANTIC",4305553,3718531
1993,Maine,"COD, ATLANTIC",3638921,3210575
1993,Maine,"COD, ATLANTIC",7591,5047
1993,Maryland,"COD, ATLANTIC",14,4
1993,Massachusetts,"COD, ATLANTIC",95827,90471
1993,Massachusetts,"COD, ATLANTIC",760057,520065
1993,Massachusetts,"COD, ATLANTIC",11036864,9447748
1993,Massachusetts,"COD, ATLANTIC",15100941,14093415
1993,Massachusetts,"COD, ATLANTIC",9514645,8364727
1993,New Hampshire,"COD, ATLANTIC",582531,516370
1993,New Hampshire,"COD, ATLANTIC",1298296,1270161
1993,New Hampshire,"COD, ATLANTIC",827475,738491
1993,New Hampshire,"COD, ATLANTIC",253221,148781
1993,New Jersey,"COD, ATLANTIC",372,353
1993,New Jersey,"COD, ATLANTIC",8655,6115
1993,New Jersey,"COD, ATLANTIC",24689,33286
1993,New Jersey,"COD, ATLANTIC",107,46
1993,New Jersey,"COD, ATLANTIC",158,148
1993,Rhode Island,"COD, ATLANTIC",193312,162219
1993,Rhode Island,"COD, ATLANTIC",134346,132199
1993,Rhode Island,"COD, ATLANTIC",10328,14560
1993,Rhode Island,"COD, ATLANTIC",359823,299992
1993,Rhode Island,"COD, ATLANTIC",545910,499502
1992,Connecticut,"COD, ATLANTIC",76795,44319
1992,Maine,"COD, ATLANTIC",117,114
1992,Maine,"COD, ATLANTIC",1373328,1028381
1992,Maine,"COD, ATLANTIC",4657253,3938485
1992,Maine,"COD, ATLANTIC",6908537,5790287
1992,Maine,"COD, ATLANTIC",55953,31966
1992,Massachusetts,"COD, ATLANTIC",106244,88927
1992,Massachusetts,"COD, ATLANTIC",17314072,15738893
1992,Massachusetts,"COD, ATLANTIC",12137787,10399927
1992,Massachusetts,"COD, ATLANTIC",1036520,717448
1992,Massachusetts,"COD, ATLANTIC",11678849,9051699
1992,New Hampshire,"COD, ATLANTIC",258633,113996
1992,New Hampshire,"COD, ATLANTIC",625410,546377
1992,New Hampshire,"COD, ATLANTIC",1148252,1017574
1992,New Hampshire,"COD, ATLANTIC",1575935,1492048
1992,New Jersey,"COD, ATLANTIC",922,277
1992,New Jersey,"COD, ATLANTIC",2419,2711
1992,New Jersey,"COD, ATLANTIC",390,273
1992,New Jersey,"COD, ATLANTIC",8186,9184
1992,Rhode Island,"COD, ATLANTIC",224616,148628
1992,Rhode Island,"COD, ATLANTIC",1039125,860636
1992,Rhode Island,"COD, ATLANTIC",601054,478008
1992,Rhode Island,"COD, ATLANTIC",215117,172728
1992,Rhode Island,"COD, ATLANTIC",1672,1335
1991,Connecticut,"COD, ATLANTIC",227785,153088
1991,Maine,"COD, ATLANTIC",420,406
1991,Maine,"COD, ATLANTIC",4777353,4056205
1991,Maine,"COD, ATLANTIC",3377517,2404160
1991,Maine,"COD, ATLANTIC",12434629,9415512
1991,Maine,"COD, ATLANTIC",589954,409378
1991,Massachusetts,"COD, ATLANTIC",29174430,24052050
1991,Massachusetts,"COD, ATLANTIC",168688,147002
1991,Massachusetts,"COD, ATLANTIC",15218449,11896649
1991,Massachusetts,"COD, ATLANTIC",16643264,13802598
1991,Massachusetts,"COD, ATLANTIC",1248240,751373
1991,New Hampshire,"COD, ATLANTIC",397667,162955
1991,New Hampshire,"COD, ATLANTIC",1082158,862516
1991,New Hampshire,"COD, ATLANTIC",1088916,956243
1991,New Hampshire,"COD, ATLANTIC",2080812,1732829
1991,New Jersey,"COD, ATLANTIC",1105,1100
1991,New Jersey,"COD, ATLANTIC",1368,1637
1991,New Jersey,"COD, ATLANTIC",8472,7852
1991,Rhode Island,"COD, ATLANTIC",284698,230755
1991,Rhode Island,"COD, ATLANTIC",4171,2869
1991,Rhode Island,"COD, ATLANTIC",1344237,1037072
1991,Rhode Island,"COD, ATLANTIC",1947843,1440706
1991,Rhode Island,"COD, ATLANTIC",249086,179088
1990,Connecticut,"COD, ATLANTIC",424249,237577
1990,Maine,"COD, ATLANTIC",12999,11110
1990,Maine,"COD, ATLANTIC",7740811,4695974
1990,Maine,"COD, ATLANTIC",2971798,2161176
1990,Maine,"COD, ATLANTIC",3934854,2175939
1990,Maine,"COD, ATLANTIC",615850,343935
1990,Maryland,"COD, ATLANTIC",18,13
1990,Massachusetts,"COD, ATLANTIC",25605614,14641923
1990,Massachusetts,"COD, ATLANTIC",160252,114694
1990,Massachusetts,"COD, ATLANTIC",1534010,770031
1990,Massachusetts,"COD, ATLANTIC",30068958,20207774
1990,Massachusetts,"COD, ATLANTIC",14830821,10561435
1990,New Hampshire,"COD, ATLANTIC",1719556,1199265
1990,New Hampshire,"COD, ATLANTIC",919269,716928
1990,New Hampshire,"COD, ATLANTIC",734267,439846
1990,New Hampshire,"COD, ATLANTIC",401363,130996
