USPS,GEOID,County,POP10,HU10,Num_Female,Num_Male,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,LAT_Youth,LONG_Youth,Distance,Actual_Age,Age_Bias_98,Age_bias_65,Age_bias_45
FL,12009980000,Brevard,7,0,0,7,65110387,16731834,25.139,6.46,28.4821141,-80.5690727,29.906891,-81.314962,107.9842687,45.5,45.7,45.6,45.6
FL,12011010102,Broward,3229,1552,1594,1635,1633664,14469,0.631,0.006,26.2978678,-80.0882174,29.906891,-81.314962,259.5582609,45.6,38.7,41.3,42.2
FL,12011010103,Broward,3491,2108,1718,1773,2184702,107821,0.844,0.042,26.3117373,-80.0863071,29.906891,-81.314962,258.6766203,50.2,38.8,43.1,44.5
FL,12011010104,Broward,2263,2327,1082,1181,795862,814133,0.307,0.314,26.3131776,-80.0768224,29.906891,-81.314962,258.7500807,54.5,38.8,44.7,46.7
FL,12011010200,Broward,6063,3079,2987,3076,2773612,0,1.071,0,26.3098357,-80.0971131,29.906891,-81.314962,258.6117342,41.4,38.8,39.8,40.1
FL,12011010304,Broward,3321,1146,1696,1625,1152964,0,0.445,0,26.3010567,-80.1134552,29.906891,-81.314962,258.9071565,36.3,38.8,37.9,37.5
FL,12011010305,Broward,4626,2504,2425,2201,2406123,49044,0.929,0.019,26.3125362,-80.111732,29.906891,-81.314962,258.1781675,32.3,38.8,36.4,35.6
FL,12011010306,Broward,2365,1229,1244,1121,1241452,0,0.479,0,26.3117966,-80.1037364,29.906891,-81.314962,258.3662783,40.1,38.8,39.3,39.5
FL,12011010307,Broward,4463,2018,2296,2167,3075624,0,1.188,0,26.3231293,-80.113943,29.906891,-81.314962,257.4396629,35.2,38.9,37.5,37
FL,12011010308,Broward,4412,2698,2431,1981,2514148,162409,0.971,0.063,26.322377,-80.1439055,29.906891,-81.314962,256.9747256,50.7,38.9,43.3,44.8
FL,12011010401,Broward,4724,2007,2454,2270,1822379,48089,0.704,0.019,26.3225329,-80.1621976,29.906891,-81.314962,256.6560927,40.4,39,39.5,39.7
FL,12011010402,Broward,3551,2860,1952,1599,3161945,749806,1.221,0.29,26.312453,-80.1602566,29.906891,-81.314962,257.3568024,62,38.9,47.6,50.4
FL,12011010403,Broward,4712,6259,2841,1871,2566036,227967,0.991,0.088,26.3111873,-80.137486,29.906891,-81.314962,257.8247011,75.7,38.9,52.7,57.3
FL,12011010405,Broward,6577,3234,3125,3452,5962443,293945,2.302,0.113,26.2795741,-80.146599,29.906891,-81.314962,259.7650023,35.3,38.7,37.4,37
FL,12011010406,Broward,3824,1898,2069,1755,2116330,865745,0.817,0.334,26.2975318,-80.1619297,29.906891,-81.314962,258.3183458,36.5,38.8,38,37.7
FL,12011010407,Broward,5257,3151,2862,2395,3088576,413865,1.193,0.16,26.2977186,-80.1400706,29.906891,-81.314962,258.6727225,46.8,38.8,41.8,42.8
FL,12011010502,Broward,2986,1121,1493,1493,3641697,38790,1.406,0.015,26.3221994,-80.1856938,29.906891,-81.314962,256.2888014,37.1,39,38.3,38.1
FL,12011010503,Broward,11237,3834,5680,5557,28171411,598601,10.877,0.231,26.3284184,-80.2612532,29.906891,-81.314962,254.6724553,39.2,39.1,39.2,39.2
FL,12011010504,Broward,5659,2011,2989,2670,3922777,266490,1.515,0.103,26.3151215,-80.2136541,29.906891,-81.314962,256.3058593,38.6,39,38.9,38.8
FL,12011010601,Broward,8236,3092,4260,3976,8753819,393927,3.38,0.152,26.3061676,-80.2474159,29.906891,-81.314962,256.3699121,42.4,39,40.3,40.7
FL,12011010603,Broward,5213,1808,2663,2550,2939020,0,1.135,0,26.2944771,-80.2588917,29.906891,-81.314962,256.9726068,40.2,38.9,39.4,39.6
FL,12011010604,Broward,4070,1493,2062,2008,2200033,49602,0.849,0.019,26.2922267,-80.2387072,29.906891,-81.314962,257.4344316,38.2,38.9,38.6,38.5
FL,12011010605,Broward,6515,2210,3291,3224,5178320,0,1.999,0,26.2935642,-80.2191557,29.906891,-81.314962,257.6525764,40.4,38.9,39.4,39.6
FL,12011010606,Broward,5670,2333,2922,2748,4436724,14523,1.713,0.006,26.2881349,-80.1956579,29.906891,-81.314962,258.3895748,33.5,38.8,36.8,36.2
FL,12011010607,Broward,9802,3704,5162,4640,5720881,85187,2.209,0.033,26.2885196,-80.1831746,29.906891,-81.314962,258.5665786,34.2,38.8,37.1,36.5
FL,12011010609,Broward,3742,1545,1876,1866,3104234,0,1.199,0,26.3087973,-80.1944988,29.906891,-81.314962,257.0351565,36,38.9,37.8,37.5
FL,12011010610,Broward,6968,2751,3470,3498,2369149,160762,0.915,0.062,26.312278,-80.181729,29.906891,-81.314962,257.0125733,38,38.9,38.6,38.5
FL,12011010611,Broward,4241,1283,2194,2047,1986925,0,0.767,0,26.2941471,-80.2741627,29.906891,-81.314962,256.762372,38,38.9,38.6,38.5
FL,12011010612,Broward,6192,2098,3124,3068,2623327,0,1.013,0,26.2947114,-80.2883447,29.906891,-81.314962,256.511819,36.8,39,38.2,37.9
FL,12011010701,Broward,5219,2173,2536,2683,2439830,4526,0.942,0.002,26.2891007,-80.1269283,29.906891,-81.314962,259.4666596,37.2,38.7,38.2,38
FL,12011010702,Broward,7944,2901,3977,3967,3371919,0,1.302,0,26.2866318,-80.1171342,29.906891,-81.314962,259.7977243,35.1,38.7,37.4,36.9
FL,12011010800,Broward,6199,2399,2901,3298,3508469,0,1.355,0,26.2860889,-80.1031972,29.906891,-81.314962,260.074347,36.1,38.7,37.7,37.4
